source,reporter,partner,period,cmdCode,cmdDesc,flowCode,qty_kg,netWgt_kg,value_usd,qtyUnitCode
Guatemala_Export,Guatemala,Indonesia,2018,0908,"Nutmeg, mace and cardamoms",X,20515.0,20515.0,164587.0,8
Guatemala_Export,Guatemala,Indonesia,2023,0908,"Nutmeg, mace and cardamoms",X,32300.0,32300.0,252500.0,8
Guatemala_Export,Guatemala,Iran,2017,0908,"Nutmeg, mace and cardamoms",X,10166.0,10166.0,12500.0,8
Guatemala_Export,Guatemala,Iran,2016,0908,"Nutmeg, mace and cardamoms",X,94667.0,94667.0,695248.0,8
Guatemala_Export,Guatemala,Iran,2015,0908,"Nutmeg, mace and cardamoms",X,6256.0,6256.0,6680.0,8
Guatemala_Export,Guatemala,Iraq,2017,0908,"Nutmeg, mace and cardamoms",X,675687.0,675687.0,7422064.0,8
Guatemala_Export,Guatemala,Iraq,2016,0908,"Nutmeg, mace and cardamoms",X,1503635.0,1503635.0,8716595.0,8
Guatemala_Export,Guatemala,Iraq,2020,0908,"Nutmeg, mace and cardamoms",X,287953.0,287953.0,6575209.0,8
Guatemala_Export,Guatemala,Iraq,2022,0908,"Nutmeg, mace and cardamoms",X,507803.0,507803.0,2872248.0,8
Guatemala_Export,Guatemala,Iraq,2018,0908,"Nutmeg, mace and cardamoms",X,502811.0,502811.0,5732329.0,8
Guatemala_Export,Guatemala,Iraq,2019,0908,"Nutmeg, mace and cardamoms",X,344973.0,344973.0,6652610.0,8
Guatemala_Export,Guatemala,Iraq,2024,0908,"Nutmeg, mace and cardamoms",X,245005.0,245005.0,3713165.0,8
Guatemala_Export,Guatemala,Iraq,2015,0908,"Nutmeg, mace and cardamoms",X,241055.0,241055.0,1504433.0,8
Guatemala_Export,Guatemala,Iraq,2021,0908,"Nutmeg, mace and cardamoms",X,280886.0,280886.0,3109007.0,8
Guatemala_Export,Guatemala,Iraq,2023,0908,"Nutmeg, mace and cardamoms",X,637789.0,637789.0,3549143.0,8
Guatemala_Export,Guatemala,Israel,2016,0908,"Nutmeg, mace and cardamoms",X,1073691.0,1073691.0,4397993.0,8
Guatemala_Export,Guatemala,Israel,2018,0908,"Nutmeg, mace and cardamoms",X,941849.0,941849.0,9696023.0,8
Guatemala_Export,Guatemala,Israel,2021,0908,"Nutmeg, mace and cardamoms",X,1480880.0,1480880.0,17872786.0,8
Guatemala_Export,Guatemala,Israel,2023,0908,"Nutmeg, mace and cardamoms",X,1718519.0,1718519.0,7917414.0,8
Guatemala_Export,Guatemala,Israel,2015,0908,"Nutmeg, mace and cardamoms",X,495909.0,495909.0,2237591.0,8
Guatemala_Export,Guatemala,Israel,2024,0908,"Nutmeg, mace and cardamoms",X,240885.0,240885.0,2664900.0,8
Guatemala_Export,Guatemala,Israel,2022,0908,"Nutmeg, mace and cardamoms",X,2653933.0,2653933.0,15098465.0,8
Guatemala_Export,Guatemala,Israel,2019,0908,"Nutmeg, mace and cardamoms",X,777282.0,777282.0,11650055.0,8
Guatemala_Export,Guatemala,Israel,2020,0908,"Nutmeg, mace and cardamoms",X,1014052.0,1014052.0,15575032.0,8
Guatemala_Export,Guatemala,Israel,2014,0908,"Nutmeg, mace and cardamoms",X,1239313.0,1239313.0,4374349.0,8
Guatemala_Export,Guatemala,Israel,2017,0908,"Nutmeg, mace and cardamoms",X,580621.0,580621.0,4323184.0,8
Guatemala_Export,Guatemala,Italy,2023,0908,"Nutmeg, mace and cardamoms",X,40380.0,40380.0,377750.0,8
